Census Tract,Unemployment %,Household Median Income,Bachelor's Degree or higher %
4005,6.5,76038,61.9
4006,14.9,60804,55.3
4007,10.5,39614,40.9
4010,9.2,44766,33.2
4014,16.2,28532,18.6
4027,8.3,40169,28.9
4028,14.9,17278,33.8
4030,12.6,17609,24.6
4031,7,59250,38.5
4033,8.9,57064,46.5
4201,8,117083,75.9
4202,8.9,82206,69.4
4203,2.9,85119,73.1
4204,6.9,38689,83.8
4205,9.7,80404,62.6
4206,4.7,107875,78.4
4212,5,150673,88.3
4213,4.1,135556,81.2
4214,6.8,132250,82.1
4217,5.8,68190,83.6
4224,4.5,54554,85.3
4229,8.3,24702,69.3
4235,10.9,42813,67.3
4239.01,7,61543,64.2
