Geography,Unemployment rate; Estimate; Population 16 years and over
"Census Tract 4005, Alameda County, California",6.5
"Census Tract 4006, Alameda County, California",14.9
"Census Tract 4007, Alameda County, California",10.5
"Census Tract 4010, Alameda County, California",9.2
"Census Tract 4014, Alameda County, California",16.2
"Census Tract 4027, Alameda County, California",8.3
"Census Tract 4028, Alameda County, California",14.9
"Census Tract 4030, Alameda County, California",12.6
"Census Tract 4031, Alameda County, California",7
"Census Tract 4033, Alameda County, California",8.9
"Census Tract 4201, Alameda County, California",8
"Census Tract 4202, Alameda County, California",8.9
"Census Tract 4203, Alameda County, California",2.9
"Census Tract 4204, Alameda County, California",6.9
"Census Tract 4205, Alameda County, California",9.7
"Census Tract 4206, Alameda County, California",4.7
"Census Tract 4212, Alameda County, California",5
"Census Tract 4213, Alameda County, California",4.1
"Census Tract 4214, Alameda County, California",6.8
"Census Tract 4217, Alameda County, California",5.8
"Census Tract 4224, Alameda County, California",4.5
"Census Tract 4229, Alameda County, California",8.3
"Census Tract 4235, Alameda County, California",10.9
"Census Tract 4239.01, Alameda County, California",7
