Geography,Households; Estimate; Median income (dollars),Households; Estimate; Mean income (dollars)
"Census Tract 4005, Alameda County, California",76038,81219
"Census Tract 4006, Alameda County, California",60804,87527
"Census Tract 4007, Alameda County, California",39614,60252
"Census Tract 4010, Alameda County, California",44766,63067
"Census Tract 4014, Alameda County, California",28532,37632
"Census Tract 4027, Alameda County, California",40169,59935
"Census Tract 4028, Alameda County, California",17278,51819
"Census Tract 4030, Alameda County, California",17609,38592
"Census Tract 4031, Alameda County, California",59250,77265
"Census Tract 4033, Alameda County, California",57064,73051
"Census Tract 4201, Alameda County, California",117083,144189
"Census Tract 4202, Alameda County, California",82206,97400
"Census Tract 4203, Alameda County, California",85119,124660
"Census Tract 4204, Alameda County, California",38689,54619
"Census Tract 4205, Alameda County, California",80404,96043
"Census Tract 4206, Alameda County, California",107875,119565
"Census Tract 4212, Alameda County, California",150673,195892
"Census Tract 4213, Alameda County, California",135556,163808
"Census Tract 4214, Alameda County, California",132250,190929
"Census Tract 4217, Alameda County, California",68190,95103
"Census Tract 4224, Alameda County, California",54554,71848
"Census Tract 4229, Alameda County, California",24702,44244
"Census Tract 4235, Alameda County, California",42813,71805
"Census Tract 4239.01, Alameda County, California",61543,87042
